company_name,roce_percentage,roe_percentage,face_value,book_value
Nestle India Ltd,185.43,135.61,1.0,41.0
Adani Green Energy Ltd,96.5,14.7,10.0,67.0
Tata Consultancy Services Ltd,64.3,0.52,1.0,281.0
Life Insurance Corporation of India,63.79,63.61,10.0,154.0
Coal India Ltd,63.6,52.0,10.0,156.0
Indian Railway Catering & Tourism Corporation Ltd,53.8,40.4,2.0,44.0
Britannia Industries Ltd,48.9,57.1,1.0,133.0
Abbott India Ltd,46.0,34.9,10.0,1657.0
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",41.75,31.45,1.0,188.0
Infosys Ltd,40.0,31.8,5.0,218.0
